Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2511;Blé et produits;2017;2017;Milliers de tonnes;491;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5142;Nourriture;2511;Blé et produits;2017;2017;Milliers de tonnes;5749;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2807;Riz et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5142;Nourriture;2807;Riz et produits;2017;2017;Milliers de tonnes;646;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2513;Orge et produits;2017;2017;Milliers de tonnes;67;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5142;Nourriture;2513;Orge et produits;2017;2017;Milliers de tonnes;48;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2514;Maïs et produits;2017;2017;Milliers de tonnes;111;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5142;Nourriture;2514;Maïs et produits;2017;2017;Milliers de tonnes;49;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2515;Seigle et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5142;Nourriture;2515;Seigle et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2516;Avoine;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5142;Nourriture;2516;Avoine;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2517;Millet et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5142;Nourriture;2517;Millet et produits;2017;2017;Milliers de tonnes;12;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5142;Nourriture;2518;Sorgho et produits;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5521;Aliments pour animaux;2520;Céréales, Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5142;Nourriture;2520;Céréales, Autres;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5521;Aliments pour animaux;2511;Blé et produits;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5142;Nourriture;2511;Blé et produits;2017;2017;Milliers de tonnes;2964;Im;Données de la FAO basées sur une méthodologie d'imputation
