Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2511;Blé et produits;2017;2017;kg;158,38;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2807;Riz et produits;2017;2017;kg;17,8;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2513;Orge et produits;2017;2017;kg;1,33;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2514;Maïs et produits;2017;2017;kg;1,34;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2515;Seigle et produits;2017;2017;kg;0;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2516;Avoine;2017;2017;kg;0;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2517;Millet et produits;2017;2017;kg;0,32;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2518;Sorgho et produits;2017;2017;kg;0;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2520;Céréales, Autres;2017;2017;kg;0;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2531;Pommes de Terre et produits;2017;2017;kg;6,31;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2536;Sucre, canne;2017;2017;kg;0;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2542;Sucre Eq Brut;2017;2017;kg;11,13;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2543;Edulcorants Autres;2017;2017;kg;0,73;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2745;Miel;2017;2017;kg;0,05;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2546;Haricots;2017;2017;kg;0,1;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2547;Pois;2017;2017;kg;0;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2549;Légumineuses Autres et produits;2017;2017;kg;2,32;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2551;Noix et produits;2017;2017;kg;0,76;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2555;Soja;2017;2017;kg;0;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2552;Arachides;2017;2017;kg;0,96;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;645;Disponibilité alimentaire en quantité (kg/personne/an);2558;Graines Colza/Moutarde;2017;2017;kg;0;Fc;Donnée calculée
