Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2511;Blé et produits;2017;2017;Milliers de tonnes;642;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2807;Riz et produits;2017;2017;Milliers de tonnes;24;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2513;Orge et produits;2017;2017;Milliers de tonnes;14;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2514;Maïs et produits;2017;2017;Milliers de tonnes;26;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2517;Millet et produits;2017;2017;Milliers de tonnes;1;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2531;Pommes de Terre et produits;2017;2017;Milliers de tonnes;27;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2536;Sucre, canne;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2537;Sucre, betterave;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2745;Miel;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2549;Légumineuses Autres et produits;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2551;Noix et produits;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2557;Graines de tournesol;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2561;Sésame;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2563;Olives;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2570;Plantes Oleiferes, Autre;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2602;Oignons;2017;2017;Milliers de tonnes;18;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2605;Légumes, Autres;2017;2017;Milliers de tonnes;210;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2611;Oranges, Mandarines;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2614;Agrumes, Autres;2017;2017;Milliers de tonnes;2;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2617;Pommes et produits;2017;2017;Milliers de tonnes;9;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2620;Raisin;2017;2017;Milliers de tonnes;43;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2625;Fruits, Autres;2017;2017;Milliers de tonnes;24;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2736;Abats Comestible;2017;2017;Milliers de tonnes;3;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2737;Graisses Animales Crue;2017;2017;Milliers de tonnes;0;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2744;Oeufs;2017;2017;Milliers de tonnes;7;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;5123;Pertes;2848;Lait - Excl Beurre;2017;2017;Milliers de tonnes;71;Im;Données de la FAO basées sur une méthodologie d'imputation
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;5123;Pertes;2511;Blé et produits;2017;2017;Milliers de tonnes;71;Im;Données de la FAO basées sur une méthodologie d'imputation
