Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2051;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2936;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;3;Albanie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3390;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;4;Algérie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3341;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3542;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;7;Angola;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2373;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;8;Antigua-et-Barbuda;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2446;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;194;Arabie saoudite;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3299;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;9;Argentine;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3269;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;1;Arménie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3072;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;10;Australie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3406;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;11;Autriche;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3687;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;52;Azerbaïdjan;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3137;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;12;Bahamas;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2644;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;16;Bangladesh;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2562;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;14;Barbade;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2911;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;57;Bélarus;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3346;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;255;Belgique;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3768;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;23;Belize;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2712;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;53;Bénin;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2756;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;19;Bolivie (État plurinational de);664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2399;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;80;Bosnie-Herzégovine;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3274;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;20;Botswana;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2341;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;21;Brésil;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3250;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;27;Bulgarie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2826;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;233;Burkina Faso;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2721;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;35;Cabo Verde;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2530;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;115;Cambodge;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2501;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;32;Cameroun;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2717;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;33;Canada;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3501;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;40;Chili;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3020;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;351;Chine;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3175;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;96;Chine - RAS de Hong-Kong;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3269;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;128;Chine - RAS de Macao;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3299;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;41;Chine, continentale;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3179;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;214;Chine, Taiwan Province de;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2950;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;50;Chypre;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3039;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;44;Colombie;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3109;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;46;Congo;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2244;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;48;Costa Rica;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;3010;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;107;Côte d'Ivoire;664;Disponibilité alimentaire (Kcal/personne/jour);2901;Total General;2017;2017;Kcal/personne/jour;2784;Fc;Donnée calculée
