Code Domaine;Domaine;Code zone (FAO);Zone;Code Élément;Élément;Code Produit;Produit;Code année;Année;Unité;Valeur;Symbole;Description du Symbole
FBS;Nouveaux Bilans Alimentaire;2;Afghanistan;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1855;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;202;Afrique du Sud;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2470;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;3;Albanie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2347;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;4;Algérie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2921;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;79;Allemagne;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2472;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;7;Angola;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2159;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;8;Antigua-et-Barbuda;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1699;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;194;Arabie saoudite;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2841;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;9;Argentine;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2242;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;1;Arménie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2270;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;10;Australie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2360;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;11;Autriche;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2524;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;52;Azerbaïdjan;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2580;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;12;Bahamas;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1867;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;16;Bangladesh;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2435;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;14;Barbade;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2224;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;57;Bélarus;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2501;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;255;Belgique;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2581;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;23;Belize;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2223;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;53;Bénin;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2631;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;19;Bolivie (État plurinational de);664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1850;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;80;Bosnie-Herzégovine;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2664;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;20;Botswana;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1975;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;21;Brésil;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2395;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;27;Bulgarie;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2137;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;233;Burkina Faso;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2565;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;35;Cabo Verde;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2097;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;115;Cambodge;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2292;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;32;Cameroun;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2598;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;33;Canada;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2634;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;40;Chili;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2251;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;351;Chine;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2441;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;96;Chine - RAS de Hong-Kong;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;1938;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;128;Chine - RAS de Macao;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2254;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;41;Chine, continentale;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2446;Fc;Donnée calculée
FBS;Nouveaux Bilans Alimentaire;214;Chine, Taiwan Province de;664;Disponibilité alimentaire (Kcal/personne/jour);2903;Produits Vegetaux;2017;2017;Kcal/personne/jour;2295;Fc;Donnée calculée
